x,y,z
1.537973795922216,0,0.01501401131079794
1.407596063751856,0,-0.1736047920973176
1.246745817622299,0,-0.335750468865864
1.151801950441305,0,-0.3852036660621938
0.779282882898549,0,-0.5105570308588845
0.3010170055222862,0,-0.6019232988610949
-0.3249613619804602,0,-0.5891287725788235
-0.5639270119502073,0,-0.5750764105574573
-1.142566563581652,0,-0.4060565470907678
-1.286791861880592,0,-0.3435461363095744
-1.428871029422712,0,-0.2405392895112677
-1.663205799312587,0,0.08454574847570745
-1.971501299537046,0,0.4471359252929688
-2.11611597395445,0,1.019776352956011
-2.171206046076652,0,1.236818313598633
-2.170642889885909,0,1.555093790027626
-2.172913857967839,0,2.026500701904297
-2.144951813162498,0,2.150142092914827
-2.121169585290554,0,2.241926479262981
-1.998207968090884,0,2.816181182861328
-1.690660987231312,0,3.218587366185945
-1.428871029422713,0,3.639930167853425
-1.142566563581653,0,3.826046785346441
-0.5639270119502096,0,4.073607604964698
-0.3249613619804886,0,4.085013859430856
0.3010170055222861,0,4.089454241883609
0.6383408412958781,0,3.918887788848722
1.16596102299479,0,3.703218701656239
1.270255332541729,0,3.617285536054816
1.673993128778524,0,2.966788195775769
1.77267431631028,0,2.820182957399835
1.955386324917085,0,2.089183601411236
1.971504419625801,0,2.026500701904297
2.005294319487529,0,1.302346248261945
2.006345990739592,0,1.234371345562949
1.998436972947696,0,1.192317097161993
1.866518637922508,0,0.4471359252929688
