sim_time;Year;Month;Day;Hour;Minute;Seconds;Borehole;Chamber;depth in borehole;pressure;pressure_window_start;pressure_window_end;pressure_diff;pressure_avgPrůměr před;Průměr po;Rozdíl průměrů;Druh změny
0.041666666666666664;2024;3;11;1;0;0;L5-24DR;2;9,15;56.9905500000002;57.93819399999955;56.9905500000002;0.9476439999993502;58.02716199999929;57.24228899999999;0.784872999999294;nevysvětleno
0.041666666666666664;2024;3;11;1;0;0;L5-22DR;2;14,66;775.9428790000002;777.0896290000012;775.9428790000002;1.1467500000010205;777.7475664999996;776.3784102499994;1.3691562500001737;nevysvětleno
0.04861111111111111;2024;3;11;1;9;59;L5-24DR;2;9,15;57.525705999998884;56.9905500000002;57.525705999998884;0.5351559999986861;57.92572499999947;57.3080040000005;0.6177209999989657;nevysvětleno
0.04861111111111111;2024;3;11;1;9;59;L5-22DR;2;14,66;776.7500039999995;775.9428790000002;776.7500039999995;0.8071249999993597;777.4344102500002;776.1278164999997;1.306593750000502;nevysvětleno
0.06944444444444445;2024;3;11;1;39;59;L5-50UL;2;12,58;2.347446000000443;1.578635000000673;2.347446000000443;0.7688109999997699;1.536042250000202;2.17148699999949;0.6354447499992881;nevysvětleno
0.0763888888888889;2024;3;11;1;50;0;L5-50UL;2;12,58;1.4319299999992305;2.347446000000443;1.4319299999992305;0.9155160000012124;1.5783782500004042;2.3414924999998323;0.7631142499994281;nevysvětleno
0.0763888888888889;2024;3;11;1;50;0;L5-23UR;2;10,12;154.83040999999943;155.39711899999955;154.83040999999943;0.5667090000001167;155.6784920000004;154.84692249999978;0.8315695000006258;nevysvětleno
0.08333333333333333;2024;3;11;1;59;59;L5-50UL;2;12,58;2.2416060000005396;1.4319299999992305;2.2416060000005396;0.809676000001309;1.7914182500003804;2.336824999999591;0.5454067499992108;nevysvětleno
0.08333333333333333;2024;3;11;1;59;59;L5-24DR;2;9,15;57.229145999999766;57.78856600000094;57.229145999999766;0.5594200000011753;57.24228899999999;56.70544799999974;0.5368410000002513;nevysvětleno
0.09027777777777779;2024;3;11;2;10;0;L5-23UR;2;10,12;155.37598300000005;154.568851999999;155.37598300000005;0.8071310000010499;155.52723750000024;154.69071424999981;0.8365232500004254;nevysvětleno
0.09027777777777779;2024;3;11;2;10;0;L5-24DR;2;9,15;56.43112999999902;57.229145999999766;56.43112999999902;0.798016000000743;57.3080040000005;56.7378000000002;0.5702040000003024;nevysvětleno
0.09722222222222222;2024;3;11;2;19;59;L5-23UR;2;10,12;154.7511500000001;155.37598300000005;154.7511500000001;0.6248329999999385;155.15900874999969;154.55960499999952;0.5994037500001639;nevysvětleno
0.1388888888888889;2024;3;11;3;20;0;L5-22DR;2;14,66;773.3276290000001;774.4111290000008;773.3276290000001;1.0835000000006403;774.6971290000004;773.4317852500001;1.2653437500002838;nevysvětleno
0.14583333333333334;2024;3;11;3;29;59;L5-22DR;2;14,66;773.9216290000011;773.3276290000001;773.9216290000011;0.5940000000009604;774.4953477500005;772.8838477499996;1.6115000000008877;nevysvětleno
0.1597222222222222;2024;3;11;3;49;59;L5-22DR;2;14,66;773.1131289999989;773.6438789999995;773.1131289999989;0.5307500000005803;773.9859102500004;772.2293477500002;1.7565625000002;nevysvětleno
0.17361111111111113;2024;3;11;4;9;59;L5-23UR;2;10,12;153.80135099999882;154.48959199999967;153.80135099999882;0.6882410000008576;154.48959199999967;153.7564370000005;0.7331549999991864;nevysvětleno
0.17361111111111113;2024;3;11;4;9;59;L5-22DR;2;14,66;771.7298789999998;773.0485040000008;771.7298789999998;1.3186250000010205;773.5015665;772.1922227500002;1.3093437499998117;nevysvětleno
0.18750000000000003;2024;3;11;4;30;0;L5-22DR;2;14,66;772.325254000001;771.8137539999993;772.325254000001;0.5115000000016607;772.8838477499996;772.2135352500002;0.6703124999994543;nevysvětleno
0.19444444444444445;2024;3;11;4;39;59;L5-24DR;2;9,15;55.358122000001096;54.81892199999914;55.358122000001096;0.539200000001955;55.76589199999958;55.17310900000018;0.5927829999994003;nevysvětleno
0.2152777777777778;2024;3;11;5;10;0;L5-24DR;2;9,15;55.676249999999705;54.58437000000039;55.676249999999705;1.091879999999314;55.206135000000174;54.42631700000007;0.7798180000001054;nevysvětleno
0.2222222222222222;2024;3;11;5;19;59;L5-24DR;2;9,15;55.097957999999586;55.676249999999705;55.097957999999586;0.5782920000001184;55.02381800000042;54.189406000000226;0.8344120000001922;nevysvětleno
0.2222222222222222;2024;3;11;5;19;59;L5-22DR;2;14,66;771.6240040000007;772.197379;771.6240040000007;0.5733749999992597;772.2455040000004;771.5659102500001;0.679593750000322;nevysvětleno
0.2361111111111111;2024;3;11;5;39;59;L5-24DR;2;9,15;53.63537800000076;54.75556600000094;53.63537800000076;1.1201880000001765;55.17310900000018;54.06505299999941;1.1080560000007722;nevysvětleno
0.24305555555555555;2024;3;11;5;50;0;L5-24DR;2;9,15;54.21636599999898;53.63537800000076;54.21636599999898;0.5809879999982144;55.02853600000016;54.28039599999976;0.7481400000003973;nevysvětleno
0.2569444444444444;2024;3;11;6;9;59;L5-22DR;2;14,66;770.3906289999995;771.4768790000007;770.3906289999995;1.0862500000012005;771.6026915000002;769.7997227500005;1.8029687499997635;nevysvětleno
0.2708333333333333;2024;3;11;6;29;59;L5-37UR;1;20,75;20.14421100000031;20.692162500000197;20.14421100000031;0.5479514999998862;21.05650362499985;19.575416500000166;1.4810871249996822;nevysvětleno
