Date,L5-50UL_0_pressure,L5-50UL_0_flow,L5-50UL_1_pressure,L5-50UL_1_flow,L5-50UL_2_pressure,L5-50UL_2_flow,L5-49DL_0_pressure,L5-49DL_0_flow,L5-49DL_1_pressure,L5-49DL_1_flow,L5-49DL_2_pressure,L5-49DL_2_flow,L5-37UR_0_pressure,L5-37UR_0_flow,L5-37UR_1_pressure,L5-37UR_1_flow,L5-37UR_2_pressure,L5-37UR_2_flow,L5-37R_0_pressure,L5-37R_0_flow,L5-37R_1_pressure,L5-37R_1_flow,L5-37R_2_pressure,L5-37R_2_flow,L5-26R_0_pressure,L5-26R_0_flow,L5-26R_1_pressure,L5-26R_1_flow,L5-26R_2_pressure,L5-26R_2_flow,L5-24DR_0_pressure,L5-24DR_0_flow,L5-24DR_1_pressure,L5-24DR_1_flow,L5-24DR_2_pressure,L5-24DR_2_flow,L5-23UR_0_pressure,L5-23UR_0_flow,L5-23UR_1_pressure,L5-23UR_1_flow,L5-23UR_2_pressure,L5-23UR_2_flow,L5-22DR_0_pressure,L5-22DR_0_flow,L5-22DR_1_pressure,L5-22DR_1_flow,L5-22DR_2_pressure,L5-22DR_2_flow
2025-03-25 10:01:00,17.486454199998953,0.0,97.53059289999953,0.0,422.6087714399998,0.0,974.8360220000006,0.0,-17.15722660000045,0.0,-6.03074200000002,24300.0,28.176986188679493,0.0,-2.7847403113202196,0.0,-23.865999675471958,0.0,301.3058984603773,0.0,-27.288277071698243,0.0,2.7468016490563696,0.0,11.193419513207521,0.0,4.137136283018769,0.0,26.535121753584907,0.0,-32.61096147169837,0.0,7.430828111321097,0.0,-12.54746699999985,0.0,26.535121753584907,0.0,-7.510486983018563,0.0,63.572207315094325,0.0,237.74266416980967,0.0,-40.98891091698063,0.0,-21.28552823584918,0.0
2025-03-25 10:02:00,17.359975399999175,0.0,96.72049869999958,0.0,419.68053127999985,0.0,974.855852000001,0.0,-17.11339460000049,0.0,-6.0578845000001635,0.0,28.18783037735873,0.0,-2.7901011226409747,0.0,-23.86489435094365,0.0,301.29530932075465,0.0,-27.286716543396352,0.0,2.746643898112977,0.0,11.193662426415067,0.0,4.1382575660376375,0.0,26.53500181716981,0.0,-32.61790494339646,0.0,7.419536522641848,0.0,-12.546967899999851,0.0,26.53500181716981,0.0,-7.511215866037423,0.0,63.572465630188674,0.0,237.753586339621,0.0,-40.994219433961774,0.0,-21.285354771698234,0.0
2025-03-25 10:03:00,17.2334965999994,0.0,95.91040449999964,0.0,416.7522911199998,0.0,973.7585919999999,0.0,-17.063535700000294,0.0,-5.968890000000285,0.0,28.19867456603797,0.0,-2.7954619339617297,0.0,-23.863789026415347,0.0,301.28472018113206,0.0,-27.285156015094458,0.0,2.746486147169584,0.0,11.193905339622614,0.0,4.139378849056507,0.0,26.534881880754714,0.0,-32.624848415094554,0.0,7.4082449339625995,0.0,-12.54646879999985,0.0,26.534881880754714,0.0,-7.511944749056283,0.0,63.572723945283016,0.0,237.76450850943235,0.0,-40.99952795094293,0.0,-21.285181307547283,0.0
2025-03-25 10:04:00,17.10701779999962,0.0,95.10031029999969,0.0,413.82405095999985,0.0,975.1440480000008,0.0,-17.318857100000486,0.0,-6.071538000000252,0.0,28.209518754717205,0.0,-2.8008227452824848,0.0,-23.86268370188704,0.0,301.2741310415094,0.0,-27.283595486792567,0.0,2.746328396226191,0.0,11.19414825283016,0.0,4.140500132075375,0.0,26.53476194433962,0.0,-32.63179188679265,0.0,7.39695334528335,0.0,-12.54596969999985,0.0,26.53476194433962,0.0,-7.512673632075145,0.0,63.57298226037736,0.0,237.77543067924367,0.0,-41.00483646792407,0.0,-21.285007843396336,0.0
2025-03-25 10:05:00,16.980538999999844,0.0,94.29021609999975,0.0,410.8958107999998,0.0,974.0864480000006,0.0,-17.208729199999976,0.0,-6.001461000000039,23175.0,28.22036294339644,0.0,-2.80618355660324,0.0,-23.861578377358736,0.0,301.26354190188675,0.0,-27.282034958490677,0.0,2.746170645282798,0.0,11.194391166037706,0.0,4.141621415094243,0.0,26.534642007924525,0.0,-32.63873535849074,0.0,7.385661756604102,0.0,-12.54547059999985,0.0,26.534642007924525,0.0,-7.513402515094005,0.0,63.57324057547171,0.0,237.786352849055,0.0,-41.010144984905224,0.0,-21.284834379245385,0.0
2025-03-25 10:06:00,16.96757359999961,0.0,93.57465135999972,0.0,408.2591611199998,0.0,973.4320580000008,0.0,-17.15722660000045,0.0,-6.001461000000039,0.0,28.231207132075678,0.0,-2.811544367923995,0.0,-23.860473052830432,0.0,301.2529527622641,0.0,-27.280474430188786,0.0,2.7460128943394055,0.0,11.194634079245253,0.0,4.1427426981131115,0.0,26.53452207150943,0.0,-32.645678830188835,0.0,7.3743701679248534,0.0,-12.54497149999985,0.0,26.53452207150943,0.0,-7.514131398112865,0.0,63.57349889056605,0.0,237.79727501886632,0.0,-41.01545350188637,0.0,-21.284660915094438,0.0
2025-03-25 10:07:00,16.954608199999374,0.0,92.85908661999969,0.0,405.62251143999987,0.0,974.3548139999999,0.0,-17.173663600000808,0.0,-5.9906040000002205,0.0,28.242051320754918,0.0,-2.8169051792447495,0.0,-23.859367728302125,0.0,301.24236362264145,0.0,-27.27891390188689,0.0,2.7458551433960126,0.0,11.1948769924528,0.0,4.143863981131981,0.0,26.534402135094332,0.0,-32.65262230188693,0.0,7.363078579245604,0.0,-12.544472399999849,0.0,26.534402135094332,0.0,-7.5148602811317256,0.0,63.57375720566039,0.0,237.80819718867764,0.0,-41.02076201886752,0.0,-21.284487450943487,0.0
2025-03-25 10:08:00,16.94164279999914,0.0,92.14352187999964,0.0,402.98586175999986,0.0,974.0097720000006,0.0,-17.148460200000656,0.0,-5.968890000000285,0.0,28.252895509434154,0.0,-2.8222659905655045,0.0,-23.85826240377382,0.0,301.23177448301885,0.0,-27.277353373585,0.0,2.7456973924526196,0.0,11.195119905660347,0.0,4.144985264150849,0.0,26.534282198679236,0.0,-32.65956577358502,0.0,7.351786990566356,0.0,-12.54397329999985,0.0,26.534282198679236,0.0,-7.515589164150586,0.0,63.57401552075474,0.0,237.81911935848896,0.0,-41.02607053584867,0.0,-21.28431398679254,0.0
2025-03-25 10:09:00,16.928677399998904,0.0,91.4279571399996,0.0,400.3492120799999,0.0,974.5491480000011,0.0,-17.198319100000845,0.0,-6.022846000000206,0.0,28.26373969811339,0.0,-2.8276268018862596,0.0,-23.857157079245518,0.0,301.2211853433962,0.0,-27.27579284528311,0.0,2.745539641509227,0.0,11.195362818867892,0.0,4.146106547169717,0.0,26.53416226226414,0.0,-32.666509245283116,0.0,7.3404954018871065,0.0,-12.54347419999985,0.0,26.53416226226414,0.0,-7.516318047169446,0.0,63.574273835849084,0.0,237.8300415283003,0.0,-41.03137905282982,0.0,-21.28414052264159,0.0
2025-03-25 10:10:00,16.91571199999867,0.0,90.71239239999957,0.0,397.7125623999999,0.0,974.4328120000002,0.0,-17.266806600000844,0.0,-6.044560000000142,0.0,28.274583886792627,0.0,-2.8329876132070146,0.0,-23.85605175471721,0.0,301.21059620377355,0.0,-27.27423231698122,0.0,2.745381890565834,0.0,11.195605732075439,0.0,4.147227830188585,0.0,26.534042325849047,0.0,-32.67345271698121,0.0,7.329203813207858,0.0,-12.542975099999849,0.0,26.534042325849047,0.0,-7.517046930188307,0.0,63.574532150943426,0.0,237.84096369811164,0.0,-41.036687569810965,0.0,-21.283967058490642,0.0
